TIMESTAMP,Global Location,Global Location (relative altitude),Local Location,Attitude,Velocity,GPS,Last Heartbeat
192072.778142014,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004879811021964997,yaw=-0.12148487567901611,roll=0.00010957613994833082","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.7814892909955233
192072.881282313,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004879811021964997,yaw=-0.12148487567901611,roll=0.00010957613994833082","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.8620774899900425
192072.898773112,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004879811021964997,yaw=-0.12148487567901611,roll=0.00010957613994833082","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.8620774899900425
192072.912626412,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004879811021964997,yaw=-0.12148487567901611,roll=0.00010957613994833082","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.8620774899900425
192072.927216712,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004879811021964997,yaw=-0.12148487567901611,roll=0.00010957613994833082","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.8620774899900425
192072.942463112,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.00047774927224963903,yaw=-0.12146016210317612,roll=9.600429621059448e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.8620774899900425
192072.961250512,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.00047774927224963903,yaw=-0.12146016210317612,roll=9.600429621059448e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.9684712890011724
192072.975990912,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.00047774927224963903,yaw=-0.12146016210317612,roll=9.600429621059448e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",6.880000000819564e-05
192073.047144211,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.00047774927224963903,yaw=-0.12146016210317612,roll=9.600429621059448e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.06515179897542112
192073.15158091,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.00047774927224963903,yaw=-0.12146016210317612,roll=9.600429621059448e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.16319299797760323
